layer,MAE,MoCo-V3,DINO
blocks.10,161.90916442871094,393.3341369628906,211.6638946533203
blocks.10.norm1,18.935956954956055,19.517166137695312,9.755791664123535
blocks.10.attn,100.92095184326172,136.8100128173828,114.46148681640625
blocks.10.attn.qkv,85.634521484375,117.67912292480469,99.62346649169922
blocks.10.attn.proj,53.40599060058594,69.7813949584961,56.36577224731445
blocks.10.norm2,17.99518585205078,121.51680755615234,24.733957290649414
blocks.10.mlp,123.93433380126953,347.7544860839844,176.0818328857422
blocks.10.mlp.fc1,79.62039947509766,315.67926025390625,114.7796401977539
blocks.10.mlp.fc2,94.98736572265625,146.00933837890625,133.5430908203125
blocks.11,157.20791625976562,360.2832336425781,212.78611755371094
blocks.11.norm1,14.391419410705566,21.01460075378418,9.052971839904785
blocks.11.attn,90.33979034423828,129.3809051513672,110.55564880371094
blocks.11.attn.qkv,70.77376556396484,106.16140747070312,92.91151428222656
blocks.11.attn.proj,56.14741134643555,73.95661163330078,59.92045974731445
blocks.11.norm2,30.67310905456543,56.60721969604492,7.225935459136963
blocks.11.mlp,124.15962982177734,330.7935485839844,181.4688720703125
blocks.11.mlp.fc1,69.00959777832031,293.8087463378906,115.17259979248047
blocks.11.mlp.fc2,103.22272491455078,152.11280822753906,140.24688720703125
norm,20.256301879882812,45.88304901123047,13.139153480529785
